689211	1,4	6	3	9	7	5	10	8	2
689212	7,6	4	5	9	2	10	1	3	8
689213	4,1	2	7	6	5	10	3	8	9
689214	9,10	3	8	6	2	7	5	4	1
689215	8,2	9	6	1	5	3	10	7	4
689216	7,5	8	1	4	6	2	3	9	10
689217	7,4	9	5	10	1	6	2	3	8
689218	6,4	3	7	9	5	1	2	10	8
689219	3,10	1	7	4	8	2	6	9	5
689220	2,9	6	10	5	1	4	8	3	7
689221	2,6	5	8	9	7	4	1	3	10
689222	8,7	6	9	3	1	10	2	4	5
689223	2,10	4	3	8	6	9	1	5	7
689224	7,3	10	5	1	9	2	6	8	4
689225	3,10	9	8	7	6	5	2	4	1
689226	1,3	8	2	4	5	6	9	10	7
689227	2,4	7	3	8	6	5	10	9	1
689228	2,4	1	6	8	3	10	9	5	7
689229	10,2	3	9	4	7	5	1	8	6
689230	10,1	9	8	4	7	3	5	2	6
689231	5,4	6	10	2	1	9	7	8	3
689232	5,3	10	1	7	2	6	4	9	8
689233	5,2	1	8	6	10	7	3	4	9
689234	7,10	5	1	3	6	4	2	8	9
689235	3,9	7	5	8	1	10	6	4	2
689236	10,5	6	8	9	7	3	2	1	4
689237	3,5	8	9	7	2	10	4	1	6
689238	9,5	7	3	2	6	1	4	10	8
689239	5,8	9	1	6	3	4	10	2	7
689240	6,8	4	10	7	9	1	5	2	3
689241	3,1	6	5	4	9	7	2	10	8
689242	4,7	6	8	10	9	5	2	1	3
689243	5,4	10	7	6	3	2	1	9	8
689244	7,3	9	8	4	5	6	2	1	10
689245	10,5	9	7	8	2	3	1	6	4
689246	4,10	1	7	5	9	6	3	8	2
689247	3,6	8	1	4	7	2	5	9	10
689248	5,9	6	8	3	10	4	1	7	2
689249	10,5	1	8	4	7	6	2	3	9
689250	9,3	1	2	10	5	8	7	6	4
689251	2,4	10	9	8	6	1	7	5	3
689252	6,7	8	9	5	3	4	10	1	2
689253	9,4	2	7	1	6	5	10	8	3
689254	8,4	2	1	7	3	10	6	9	5
689255	4,6	3	10	7	9	8	1	2	5
689256	9,10	2	6	7	4	8	3	5	1
689257	2,6	5	8	4	7	1	3	10	9
689258	6,8	2	7	4	10	5	9	3	1
689259	9,6	3	1	5	4	8	10	7	2
689260	6,9	8	10	2	1	3	4	5	7
689261	4,2	8	7	1	10	6	9	5	3
689262	10,3	1	6	5	2	4	9	7	8
689263	6,4	8	9	7	10	2	5	3	1
689264	8,2	7	5	4	6	3	10	1	9
689265	10,5	9	2	8	7	6	1	3	4
689266	7,3	6	1	9	2	10	8	5	4
689267	7,3	1	9	8	10	6	5	4	2
689268	1,7	3	9	10	5	2	6	4	8
689269	9,1	7	5	10	3	8	4	2	6
689270	8,7	3	2	1	9	5	10	4	6
689271	7,4	2	3	8	1	10	5	9	6
689272	8,1	6	9	3	5	4	2	7	10
689273	7,10	1	8	6	2	5	9	4	3
689274	1,9	6	2	5	7	10	8	4	3
689275	2,9	3	6	4	10	8	5	1	7
689276	3,6	4	2	7	10	1	5	9	8
689277	10,6	5	2	7	8	4	9	1	3
689278	4,10	5	7	9	2	1	6	3	8
689279	10,7	4	8	1	2	6	5	9	3
689280	10,7	1	2	8	3	6	9	5	4
689281	3,1	8	7	5	2	9	6	10	4
689282	2,7	3	9	4	10	6	8	5	1
689283	5,3	4	1	10	7	2	9	8	6
689284	4,10	6	5	1	8	2	3	7	9
689285	1,5	6	3	4	2	7	9	8	10
689286	4,3	1	9	2	5	10	6	8	7
689287	1,4	2	10	9	3	6	5	8	7
689288	3,4	10	6	1	5	2	9	8	7
689289	6,2	5	7	3	1	10	9	8	4
689290	2,1	4	10	6	5	8	9	3	7
689291	8,1	4	2	6	3	7	10	5	9
689292	6,3	5	10	2	8	1	9	7	4
689293	2,4	5	10	7	3	8	1	9	6
689294	1,9	6	5	10	7	2	8	4	3
689295	6,4	10	7	1	8	3	2	5	9
689296	4,7	6	8	10	5	2	9	1	3
689297	9,7	8	10	6	1	4	5	2	3
689298	5,6	3	2	4	8	7	1	9	10
689299	1,5	2	4	7	3	8	10	9	6
689300	6,1	5	9	8	7	4	3	10	2
689301	6,1	2	5	4	3	10	7	9	8
689302	4,7	2	3	10	1	9	6	8	5
689303	9,6	7	4	3	5	1	10	8	2
689304	7,5	8	9	10	1	3	6	2	4
689305	9,4	1	8	7	2	5	6	10	3
689306	6,4	10	1	3	7	5	2	9	8
689307	7,8	5	6	1	4	3	10	2	9
689308	3,4	9	7	8	2	1	5	10	6
689309	2,3	6	10	7	1	4	9	8	5
689310	4,5	3	2	8	1	7	10	6	9
689311	4,6	8	5	10	1	9	7	2	3
689312	4,5	8	3	1	2	7	9	6	10
689313	8,6	9	2	1	5	7	3	4	10
689314	2,9	7	6	8	3	5	10	4	1
689315	7,1	4	5	8	10	9	3	2	6
689316	5,3	10	6	1	4	9	2	8	7
689317	1,4	2	7	8	5	6	3	9	10
689318	4,8	9	6	3	10	7	2	5	1
